event_name,count,share
phase_change,103287,0.25361315320358885
discussion,81020,0.19893827560636643
vote_action,46421,0.11398313616296143
chat_request,40594,0.09967539323580397
phase_divider,35238,0.08652415398441299
vote_request,29785,0.07313473881678134
game_start,11480,0.028188242458171888
moderator_announcement,9115,0.02238116986117045
vote_order,7078,0.01737947562011678
elimination,6289,0.015442147806571691
eliminate_proposal_action,5872,0.014418236908918584
vote_result,3652,0.008967200475369664
night_start,3614,0.008873894446326934
day_start,3464,0.008505581173789845
discussion_order,3464,0.008505581173789845
heal_request,2983,0.007324523279854246
heal_action,2980,0.007317157014403505
inspect_request,2872,0.0070519714581768
inspect_action,2861,0.007024961818190747
inspect_result,2861,0.007024961818190747
game_end,1434,0.0035210748854545724
heal_result,746,0.00183174467541779
no_op_action,144,0.00035358074163560556
error,8,1.964337453531142e-05
